name,id,lat,long,type,tags,rank,mostSimilar,top3InTransitions,top3OutTransitions,outTransFrequency
Acquarena,1,46.7192275,11.6572294,Sportstätte,"['water', 'sport and recreation facilities', 'indoor']",2.0,"['Schwimmbad Alpinpool', 'Vertikale Kletterzentrum Brixen', 'Freischwimmbad Feldthurns']","['Plose', 'Diözesanmuseum Hofburg Brixen', 'Augustiner Chorherrenstift Neustift']","['Plose', 'Diözesanmuseum Hofburg Brixen', 'Tourism_Agency_Events']",677
Antiquarium Sebatum,4,46.783028753731614,11.902474261899073,Museum,"['cultural and religious institutions', 'indoor']",55.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Messner Mountain Museum Ripa', 'Südtiroler Burgeninstitut - Burg Taufers', 'Festung Franzensfeste']",6
Archeoparc,5,46.721839700000004,10.860789599999999,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",44.0,"['Museum Schloss Moos-Schulthaus', 'Archeoparc Villanders', 'Merkantilmuseum']","['Eisenbahnwelt', 'Messner Mountain Museum Ripa', 'Acquarena']","['Messner Mountain Museum Ripa', 'Messner Mountain Museum Juval', 'Acquarena']",21
Archeoparc Villanders,6,46.631871893698026,11.540870035806586,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",69.0,"['Museum Schloss Moos-Schulthaus', 'Merkantilmuseum', 'Archeoparc']","['Messner Mountain Museum Juval', 'Acquarena', 'Nesselbahn']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Augustiner Chorherrenstift Neustift,7,46.74094275,11.651894043399755,Museum,"['protected cultural heritage', 'cultural and religious institutions', 'indoor']",6.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Kloster St. Johann in Müstair']","['Südtiroler Archäologiemuseum', 'Diözesanmuseum Hofburg Brixen', 'Tourism_Agency_Events']","['Diözesanmuseum Hofburg Brixen', 'Acquarena', 'Plose']",1209
BunkerMooseum,9,46.8307549,11.1694596,Museum,"['cultural and religious institutions', 'indoor']",61.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Museum Passeier - Andreas Hofer', 'Acquarena', 'Nesselbahn']",4
Burg Hocheppan,10,46.4925375,11.2422954,Museum,"['protected cultural heritage', 'cultural and religious institutions', 'indoor', 'outdoor']",67.0,"['Churburg', 'Kloster St. Johann in Müstair', 'Südtiroler Obstbaumuseum']","['Südtiroler Archäologiemuseum', 'Acquarena', 'Nesselbahn']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Churburg,11,46.6635393,10.588729774639699,Museum,"['protected cultural heritage', 'cultural and religious institutions', 'indoor', 'outdoor']",99.0,"['Kloster St. Johann in Müstair', 'Burg Hocheppan', 'Südtiroler Obstbaumuseum']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Diözesanmuseum Hofburg Brixen,13,46.7147023,11.6556498,Museum,"['protected cultural heritage', 'cultural and religious institutions', 'indoor', 'outdoor']",4.0,"['Churburg', 'Kloster St. Johann in Müstair', 'Burg Hocheppan']","['Plose', 'Augustiner Chorherrenstift Neustift', 'Pharmaziemuseum Brixen']","['Pharmaziemuseum Brixen', 'Acquarena', 'Plose']",1619
Dokumentationszentrum Culten,14,46.549876899999994,11.0085621,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
