source_attraction,src_lat,src_lon,dest_attraction,dest_lat,dest_lon,counter,source_id,dest_id
Acquarena,46.7192275,11.6572294,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,23,1,7
Acquarena,46.7192275,11.6572294,BunkerMooseum,46.8307549,11.1694596,4,1,9
Acquarena,46.7192275,11.6572294,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,81,1,13
Acquarena,46.7192275,11.6572294,Eishalle Brixen,46.7059813,11.6515722,4,1,20
Acquarena,46.7192275,11.6572294,Festung Franzensfeste,46.7940346,11.6070764,26,1,23
Acquarena,46.7192275,11.6572294,Pfannenspitze,46.69132214861144,11.745305323526795,14,1,43
Acquarena,46.7192275,11.6572294,Messner Mountain Museum Corones,46.7387791,11.9583111,5,1,54
Acquarena,46.7192275,11.6572294,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,2,1,55
Acquarena,46.7192275,11.6572294,Mineralienmuseum Teis,46.6527149,11.6203244,10,1,60
Acquarena,46.7192275,11.6572294,Museum im Weißen Turm,46.7163815,11.65758612222222,21,1,66
Acquarena,46.7192275,11.6572294,Museum Ladin Ursus ladinicus,46.57079876483519,11.932309027512385,4,1,69
Acquarena,46.7192275,11.6572294,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,1,1,77
Acquarena,46.7192275,11.6572294,Palmschoß,46.67621564404051,11.713047745083475,17,1,81
Acquarena,46.7192275,11.6572294,Pharmaziemuseum Brixen,46.7166139,11.6582709,36,1,83
Acquarena,46.7192275,11.6572294,Schloss Rodenegg,46.7821085,11.686005499999998,1,1,88
Acquarena,46.7192275,11.6572294,Schloss Runkelstein,46.5174693,11.3590378,3,1,89
Acquarena,46.7192275,11.6572294,Schloss Velthurns,46.6700207,11.6000965,12,1,90
Acquarena,46.7192275,11.6572294,Silberbergwerk Villanders,46.6539687,11.5435707,4,1,96
Acquarena,46.7192275,11.6572294,Stadtmuseum Meran,46.67166620764228,11.166813428814043,4,1,101
Acquarena,46.7192275,11.6572294,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,19,1,102
Acquarena,46.7192275,11.6572294,Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,46.9286162,11.2713135,4,1,103
Acquarena,46.7192275,11.6572294,Südtiroler Burgenmuseum Trostburg,46.5951888,11.5345657,11,1,107
Acquarena,46.7192275,11.6572294,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,2,1,111
Acquarena,46.7192275,11.6572294,Plose,46.6980157,11.6826829,327,1,114
Acquarena,46.7192275,11.6572294,Tourism_Agency_Events,46.7148875,11.6547867,42,1,116
Antiquarium Sebatum,46.783028753731614,11.902474261899073,Festung Franzensfeste,46.7940346,11.6070764,1,4,23
Antiquarium Sebatum,46.783028753731614,11.902474261899073,Messner Mountain Museum Ripa,46.794161,11.9399044,4,4,58
Antiquarium Sebatum,46.783028753731614,11.902474261899073,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,1,4,106
